Titre Événement,Types Événement,Modèle Utilisé,Statut,URL Image Générée,ID Enregistrement Inséré,Message d'Erreur
Réforme monétaire de Solon à Athènes,"[""Politique"", ""Économique""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/rforme_montaire_de_solon_athnes_cb5c288e.webp,,Unexpected non-whitespace character after JSON at position 9 (line 1 column 10)
Compilation de la Loi des Douze Tables à Rome,"[""Juridique"", ""Politique""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/compilation_de_la_loi_des_douze_tables_rome_17f06d92.webp,,Unexpected non-whitespace character after JSON at position 10 (line 1 column 11)
Fondation de l'Académie de Platon,"[""Philosophique"", ""Éducatif""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/fondation_de_lacadmie_de_platon_e063abe0.webp,,Unexpected non-whitespace character after JSON at position 9 (line 1 column 10)
Édit de l'empereur Ashoka sur la non-violence,"[""Religieux"", ""Politique""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dit_de_lempereur_ashoka_sur_la_non_violence_8fe1e71c.webp,,Unexpected non-whitespace character after JSON at position 8 (line 1 column 9)
Mesure de la circonférence de la Terre par Ératosthène,"[""Scientifique"", ""Mathématique""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/mesure_de_la_circonfrence_de_la_terre_par_ratosthn_7c8eddfc.webp,,Unexpected non-whitespace character after JSON at position 10 (line 1 column 11)
Invention de l'astrolabe planisphérique par Apollonios de Perga,"[""Scientifique"", ""Technologique""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/invention_de_lastrolabe_planisphrique_par_apolloni_86502587.webp,,Unexpected non-whitespace character after JSON at position 9 (line 1 column 10)
Instauration du système des examens impériaux en Chine,"[""Politique"", ""Éducatif""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/instauration_du_systme_des_examens_impriaux_en_chi_f1406618.webp,,Unexpected non-whitespace character after JSON at position 9 (line 1 column 10)
Première utilisation du zéro comme nombre par Brahmagupta,"[""Mathématique"", ""Scientifique""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/premire_utilisation_du_zro_comme_nombre_par_brahma_9e258d86.webp,,Unexpected non-whitespace character after JSON at position 8 (line 1 column 9)
Concile iconoclaste de Hieria,"[""Religieux"", ""Politique""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/concile_iconoclaste_de_hieria_5da16fa2.webp,,Unexpected non-whitespace character after JSON at position 11 (line 1 column 12)
Première mention de la poudre à canon en Chine,"[""Technologique"", ""Militaire""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/premire_mention_de_la_poudre_canon_en_chine_06f3aef5.webp,,Unexpected non-whitespace character after JSON at position 9 (line 1 column 10)
Fondation de l'École de Chartres,"[""Philosophique"", ""Éducatif""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/fondation_de_lcole_de_chartres_1476c3e7.webp,,Unexpected non-whitespace character after JSON at position 10 (line 1 column 11)
Rédaction du Canon de la Médecine par Avicenne,"[""Médical"", ""Scientifique""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/rdaction_du_canon_de_la_mdecine_par_avicenne_f0db89d2.webp,,Unexpected non-whitespace character after JSON at position 8 (line 1 column 9)
Fondation de l'École de Traduction de Tolède,"[""Intellectuel"", ""Culturel""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/fondation_de_lcole_de_traduction_de_tolde_4eada3e1.webp,,Unexpected non-whitespace character after JSON at position 11 (line 1 column 12)
Début de la Croisade des Albigeois,"[""Religieux"", ""Militaire""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dbut_de_la_croisade_des_albigeois_acc6d11e.webp,,Unexpected non-whitespace character after JSON at position 10 (line 1 column 11)
Première dissection humaine publique par Mondino de Luzzi,"[""Médical"", ""Scientifique""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/premire_dissection_humaine_publique_par_mondino_de_17d154e0.webp,,Unexpected non-whitespace character after JSON at position 10 (line 1 column 11)
Promulgation de la Bulle d'Or,"[""Politique"", ""Juridique""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/promulgation_de_la_bulle_dor_f654285c.webp,,Unexpected non-whitespace character after JSON at position 13 (line 1 column 14)
Construction de la première horloge mécanique à Salisbury,"[""Technologique"", ""Architectural""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/construction_de_la_premire_horloge_mcanique_salisb_2200e04f.webp,,Unexpected non-whitespace character after JSON at position 15 (line 1 column 16)
Invention de la double entrée en comptabilité par Luca Pacioli,"[""Économique"", ""Mathématique""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/invention_de_la_double_entre_en_comptabilit_par_lu_dd51594c.webp,,Unexpected non-whitespace character after JSON at position 10 (line 1 column 11)
Fondation de l'Empire Khmer et construction d'Angkor,"[""Politique"", ""Architectural""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/fondation_de_lempire_khmer_et_construction_dangkor_0da82f2e.webp,,Unexpected non-whitespace character after JSON at position 12 (line 1 column 13)
Première utilisation de la boussole en navigation européenne,"[""Technologique"", ""Maritime""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/premire_utilisation_de_la_boussole_en_navigation_e_38d72b33.webp,,Unexpected non-whitespace character after JSON at position 9 (line 1 column 10)
Fondation de Carthage par les Phéniciens,"[""Politique"", ""Commercial""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/fondation_de_carthage_par_les_phniciens_b53d148b.webp,,Unexpected non-whitespace character after JSON at position 11 (line 1 column 12)
Bataille de Marathon,"[""Militaire"", ""Politique""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/bataille_de_marathon_cd0cac02.webp,,Unexpected non-whitespace character after JSON at position 9 (line 1 column 10)
Début de la Première Guerre punique,"[""Militaire"", ""Politique""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dbut_de_la_premire_guerre_punique_44ce4ec7.webp,,"Expected ',' or ']' after array element in JSON at position 9 (line 1 column 10)"
Bataille d'Actium et victoire d'Octave,"[""Militaire"", ""Politique""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/bataille_dactium_et_victoire_doctave_68a701d0.webp,,Unexpected non-whitespace character after JSON at position 9 (line 1 column 10)
Destruction de la Bibliothèque d'Alexandrie (première fois),"[""Culturel"", ""Religieux""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/destruction_de_la_bibliothque_dalexandrie_premire__70ba27f2.webp,,Unexpected non-whitespace character after JSON at position 10 (line 1 column 11)
Appel à la Première Croisade par le pape Urbain II,"[""Religieux"", ""Politique""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/appel_la_premire_croisade_par_le_pape_urbain_ii_c5f80711.webp,,Unexpected non-whitespace character after JSON at position 10 (line 1 column 11)
